word,ndar_item_id,wb_item_id
baa baa,1,1
choo choo,2,2
cockadoodledoo,3,3
grrr,4,4
meow,5,5
moo,6,6
ouch,7,7
quack quack,8,8
uh oh,9,9
vroom,10,10
woof woof,11,11
yum yum,12,12
alligator,13,13
animal,14,14
ant,15,15
bear,16,16
bee,17,17
bird,18,18
bug,19,19
bunny,20,20
butterfly,21,21
cat,22,22
chicken (animal),23,23
cow,24,24
deer,25,25
dog,26,26
donkey,27,27
duck,28,28
elephant,29,29
fish (animal),30,30
frog,31,31
giraffe,32,32
goose,33,33
hen,34,34
horse,35,35
kitty,36,36
lamb,37,37
lion,38,38
monkey,39,39
moose,40,40
mouse,41,41
owl,42,42
penguin,43,43
pig,44,44
pony,45,45
puppy,46,46
rooster,47,47
sheep,48,48
squirrel,49,49
teddybear,50,50
tiger,51,51
turkey,52,52
turtle,53,53
wolf,54,54
zebra,55,55
airplane,56,56
bicycle,57,57
boat,58,58
bus,59,59
car,60,60
firetruck,61,61
helicopter,62,62
motorcycle,63,63
sled,64,64
stroller,65,65
tractor,66,66
train,67,67
tricycle,68,68
truck,69,69
ball,70,70
balloon,71,71
bat,72,72
block,73,73
book,74,74
bubbles,75,75
chalk,76,76
crayon,77,77
doll,78,78
game,79,79
glue,80,80
pen,81,81
pencil,82,82
play dough,83,83
present,84,84
puzzle,85,85
story,86,86
toy (object),87,87
apple,88,88
applesauce,89,89
banana,90,90
beans,91,91
bread,92,92
butter,93,93
cake,94,94
candy,95,95
carrots,96,96
cereal,97,97
cheerios,98,98
cheese,99,99
chicken (food),100,100
chocolate,101,101
coffee,102,102
coke,103,103
cookie,104,104
corn,105,105
cracker,106,106
donut,107,107
drink (beverage),108,108
egg,109,109
fish (food),110,110
food,111,111
french fries,112,112
grapes,113,113
green beans,114,114
gum,115,115
hamburger,116,116
ice,117,117
ice cream,118,118
jello,119,119
jelly,120,120
juice,121,121
lollipop,122,122
meat,123,123
melon,124,124
milk,125,125
muffin,126,126
noodles,127,127
nuts,128,128
orange (food),129,129
pancake,130,130
peanut butter,131,132
peas,132,131
pickle,133,133
pizza,134,134
popcorn,135,135
popsicle,136,136
potato,137,138
potato chip,138,137
pretzel,139,139
pudding,140,140
pumpkin,141,141
raisin,142,142
salt,143,143
sandwich,144,144
sauce,145,145
soda/pop,146,146
soup,147,147
spaghetti,148,148
strawberry,149,149
toast,150,150
tuna,151,151
vanilla,152,152
vitamins,153,153
water (beverage),154,154
yogurt,155,155
beads,156,156
belt,157,157
bib,158,158
boots,159,159
button,160,160
coat,161,161
diaper,162,162
dress (object),163,163
gloves,164,164
hat,165,165
jacket,166,166
jeans,167,167
mittens,168,168
necklace,169,169
pajamas,170,170
pants,171,171
scarf,172,172
shirt,173,173
shoe,174,174
shorts,175,175
slipper,176,176
sneaker,177,177
snowsuit,178,178
sock,179,179
sweater,180,180
tights,181,181
underpants,182,182
zipper,183,183
ankle,184,184
arm,185,185
belly button,186,186
buttocks/bottom*,187,187
cheek,188,188
chin,189,189
ear,190,190
eye,191,191
face,192,192
foot,193,194
finger,194,193
hair,195,195
hand,196,196
head,197,197
knee,198,198
leg,199,199
lips,200,200
mouth,201,201
nose,202,202
owie/boo boo,203,203
penis*,204,204
shoulder,205,205
tooth,206,208
toe,207,206
tongue,208,207
tummy,209,209
vagina*,210,210
basket,211,211
blanket,212,212
bottle,213,213
box,214,215
bowl,215,214
broom,216,216
brush,217,217
bucket,218,218
camera,219,219
can (object),220,220
clock,221,221
comb,222,222
cup,223,223
dish,224,224
fork,225,225
garbage,226,226
glass,227,227
glasses,228,228
hammer,229,229
jar,230,230
keys,231,231
knife,232,232
lamp,233,233
light,234,234
medicine,235,235
money,236,236
mop,237,237
nail,238,238
napkin,239,239
paper,240,240
penny,241,241
picture,242,242
pillow,243,243
plant,244,244
plate,245,245
purse,246,246
radio,247,247
scissors,248,248
soap,249,249
spoon,250,250
tape,251,251
telephone,252,252
tissue/kleenex,253,253
toothbrush,254,254
towel,255,255
trash,256,256
tray,257,257
vacuum,258,258
walker,259,259
watch (object),260,260
basement,261,261
bathroom,262,262
bathtub,263,263
bed,264,264
bedroom,265,265
bench,266,266
chair,267,267
closet,268,268
